时间及产品型号,评论内容
2025年3月10日 · 【38节限定礼盒】钛空光学镜2+38眼镜礼包,帅帅的  非常实用  后续下单华为手机 支持华为
2025年3月10日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,�这副眼镜真是太棒了！不仅外观时尚，而且待机时间也超级长。戴上去感觉自己瞬间变成了科技达人
2025年3月10日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,华为产品质量没得说，戴起来很轻便，买之前以为会很重，超乎想象的轻便，运动工作两不误，客服阿絮很有耐心
2025年3月10日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,比想象中的更骚情，男士用比较实用，开车不用再找手机了，可以直接接电话。
2025年3月10日 · 飞行员光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,还可以，重量也能接受，声音也够清晰，总体来说还是很满意，唯一的缺点就是随心听只能听华为音乐，没办法选第三方音乐！
2025年3月12日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,刚收到没电就立马充电。使用了下，音质非常好，感觉还可以。
2025年3月13日 · 飞行员光学眼镜2【加购送飞行员墨镜夹片】,看着比耳机省事一点不用戴耳朵里拍来看看
2025年3月14日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,想要买品质的好宝贝还是要买大厂家！我网上买了好几家同类产品，线下去了好几个品牌店，最终选择了华为！物有所值，虽然有点小贵，贵有贵的道理！本店比我走过的好几家实体店优惠都大，好多赠品，服务好，以后一定继续支持！
2025年3月17日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,挺好的，用了几天感觉很方便，尤其是开车的时候太方便了
2025年3月18日 · 飞行员光学眼镜2【加购送飞行员墨镜夹片】,正品，质量很好，客服服务态度很好，问题解答的很及时。
2025年3月19日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,带着很舒服，通话清晰，很轻，待机时间长，赞�
2025年3月1日 · 智能眼镜2【钛空光学镜】发布会新品！,眼睛方便好看，音质清楚，颜色好看，值得购买
2025年3月21日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,客服态度非常好，非常耐心解答，物流也很快。东西确实好用，非常便捷。赞
2025年3月21日 · 飞行员光学眼镜2+【防蓝光镜片 1.67 非球面】,整体上不错，造型也可以。比普通眼镜肯定要重一点。。要是能有个随身袋就好了，会比三角形的眼镜盒实用。。
2025年3月22日 · 飞行员光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,超乎想象的好，运动工作两不误，整体价格太美丽了。佩戴舒适，做工很精细！客服豆子很满意，快递也很快。眼镜盒牛。
2025年3月23日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,好好看，包装也很精美，送人的，朋友特别喜欢。
2025年3月23日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,收到了，看着不错，还没用，用了以后再评价
2025年3月23日 · 飞行员光学眼镜2【加购送飞行员墨镜夹片】,非常好，音质也不错，很方便，戴上不重。
2025年3月24日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,还不错很实用，建议随身携带着用，音质也比想象中的要好
2025年3月25日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,眼镜带起来很舒服，配的镜片也很适合
2025年3月25日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,上班不让戴耳机，这个眼镜刚好，眼镜带着也没有想象中的那么重，和平时戴的眼镜没多大差别，续航也很不错，声音大概在40%以内时别人基本听不到
2025年3月26日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,其实我是个不戴眼镜的人，但是它确实满足了我“耳机隐形”的需求，很小众的赛道，做得不错！
2025年3月26日 · 金丝光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,礼品丰富  比门店标价便宜   发货迅速  推荐购买  再提个小小建议  赠品麻烦一次性都给发了  核对半天发现少了好几样
2025年3月27日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,发货很快，眼镜收到后确实不错
2025年3月28日 · 方形无框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,还可以，听了一下一切正常，只是我头小，好像有点大，希望能调整好。
2025年3月29日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,配的散光眼睛镜片太差了 晚上看路看红路灯和路牌不如我没带散光镜片 我自己在眼睛店配的散光眼睛天壤之别 自己配的散光眼睛看东西特别清晰 我说我散光五十度 客服硬让我去眼镜店验光 大家要是散光近视啊最好自己取眼睛店配眼镜片
2025年3月2日 · 【加购送价值269元前框】飞行员光学镜+飞行员2墨镜前框,外观好看时尚，佩戴舒适，功能体验极好！？
2025年3月2日 · 【新年限定礼盒】钛空光学镜2+新年礼包,正品 眼镜超帅 店家服务周到 眼镜度数配的准确 发货速度快
2025年3月2日 · 金丝光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,眼镜收到后迫不及待的试了试，效果真不错， 没收到时还担心跑音，今天特意试了试在外边 的效果，音量开到中等，打电话都正常，接电 话也比较方便，非常不错的体验。
2025年3月30日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,试戴了几天，降噪功能非常好，一天八小时刚好能满足待机。
2025年3月31日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,物流很快，华为产品质量非常好。眼镜外形也很好看，等充完电就能用了，到时候再来发表意见，感受一下科技改变生活的新的！
2025年3月3日 · 【新年限定礼盒】方形半框光学镜2+新年礼包,比上一代轻很多，镜腿佩戴也比上一代舒服，可以更新鸿蒙NEXT系统，连接无延迟，很不错
2025年3月3日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,镜框不挑人，大脸也能戴，平时带近视眼镜的而且配镜预算在1500之内的强烈推荐，无敌好用，使用场景除了睡觉其他时间都适配，不过音质肯定是比不上入耳式的，放心冲，近视党不用犹豫
2025年3月3日 · 金丝光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,很洋气，音质很好，值得购买
2025年3月3日 · 飞行员光学眼镜2【加购送飞行员墨镜夹片】,物流非常快，昨天拍的，今天下午就到了，戴了以后感觉非常好，和平时戴的眼镜差不多，音质也挺好，商家还送了近视镜片，非常棒的购物体验。
2025年3月4日 · 方形无框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,眼镜没问题，全新的，保修期内，价格也合适。
2025年3月4日 · 金丝光学眼镜2【加购送墨镜夹片.】,音效很好，眼镜比较轻快，华为产品值得信赖。
2025年3月5日 · 飞行员光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,店家服务超级好，价格优惠！全新正品！再次感受科技改变生活的力量！值得购买！
2025年3月6日 · 【加购送价值269元前框】飞行员光学镜2+飞行员2亮黑色前框,商家用后封的眼镜，当做全新未拆封的来卖。
2025年3月6日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,眼镜很不错，只要声音开的不是很大漏音情况还是很小的。
2025年3月8日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,非常漂亮，收不到到货了，圢打开就很不错的感觉，诚用了一下，不亏是高科技的产特，好用
2025年3月8日 · 方形无框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,男的瘦的带这个窄镜片，切记，蓝牙音质也好传入速度也快，可以的！
2025年3月9日 · 【38节限定礼盒】飞行员光学镜2+38眼镜礼包,第二个眼镜了，一如既往的好，老婆也很喜欢
2025年3月9日 · 智能眼镜2【金丝光学镜】发布会新品！,眼镜很好用 用了很久才来评论 看上去也很有质感
2025年3月9日 · 金丝光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,音质非常好！配带舒适！送的镜片非常清晰！非常值得购买的商品！
2025年4月11日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,買的是華為智能眼鏡2鈦金屬版，包裝完整， 發貨快， 是華為正品， 推薦。
2025年4月12日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,非常满意质量杠杠的必须五星好评
2025年4月14日 · 方形无框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,这家店简直是差极了，没打开过发现买错了款要求补钱换成其他，直接拒绝说这是国家补贴单子不能退还，买的时候因为是送老公的，前后不解决问题一直忽视重点和扯淡，一直说国家补贴不能退还，买的时候没有任何提示，还因为我在申请小二调解直接修改了详情页页面。但一直写着七天无理由退货来忽悠一个个消费者！送过来的货物直接摔两个划伤的带度数镜片让我找附近的眼镜店自己安装。真是看走了眼，真是不建议买家买这家店的任何东西。这家店的卖家绝对是想借着国家名义想坑人卖一副就一副。就知道它会**还录了详情页整个屏幕，现在所有改了一遍，呵呵在这家店买东西绝对买出一个坏教训坏体验！
2025年4月14日 · 飞行员光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,外观看起来大气时尚很不错 左右声道音质很好  近视店家也给配了蔡司镜片 。
2025年4月15日 · 飞行员光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,你就戴吧，一戴一个不吱声，包装我很喜欢，眼镜比一般眼镜重一丢丢，没想象那么夸张，真的超好，遥遥领先
2025年4月16日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,服务耐心周到，音质很好，工作听歌挺不错
2025年4月16日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,质量超级棒的镜架，适合脸宽的朋友
2025年4月19日 · 方形无框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,这款眼镜真的超出预期！镜框材质轻盈，佩戴一整天也不会压鼻梁，金属/板材（根据款式选）设计简约又显气质，物流超快，包装精致，还送了眼镜盒、清洁布等实用赠品～性价比超高，戴上瞬间提升颜值，朋友们都夸有品味！以后配镜就认准这家啦，强烈推荐给需要的朋友们！�
2025年4月1日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买
2025年4月20日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,发货快，，价格实惠，客服阿絮也可以，挺好的
2025年4月20日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,眼镜非常不错，现在可以认真上班了，懂的都懂
2025年4月21日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,很不错，配镜也准确，一直支持华为。
2025年4月21日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,眼镜确实不错，充电，持续待机都可以，我只用于接打电话，能坚持两天。赠送的配件出现了一些小问题，大家也都努力沟通了。给好评。
2025年4月21日 · 方形无框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,价格很实惠，性价比很高，算是平价好物，会回购的
2025年4月22日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,产品配合华为App使用，有严重的操作系统限制，只能在华为机上用，其他机器用起来问题很多，比如戴上之后配对app要手动，颈椎健康提醒压根就不支持，商家拒绝配合解决，发的广告也是刻意隐瞒这些缺陷。
2025年4月22日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,想要买品质的好宝贝还是要买大厂家！我网上买了好几家同类产品，线下去了好几个品牌店，最终选择了华为！物有所值，虽然有点小贵，贵有贵的道理！本店比我走过的好几家实体店优惠都大，好多赠品，服务好，以后一定继续支持！
2025年4月24日 · 金丝光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,华为智能眼镜2飞行员金丝钛空光学镜变框，真是太棒了！质量非常好，戴上去很舒适�，性价比超高✨。物流速度也很快，满意！�
2025年4月25日 · 【2025新品发售】钛空圆框光学镜,发货与所想购买的新款严重不符，买之前咨询过客服，他给我发的链接，买完后咨询翻译功能还给我发各种链接，后面又说我买的这款没有翻译功能，没买的眼睛擦亮。
2025年4月25日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,商品质量一流，细节完美。材质优质，使用起来效果显著，是一款让人信赖的好产品。
2025年4月26日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,华为智能眼镜2代真的太惊艳了，钛空银配色高级感十足，4.7g超轻设计佩戴无感，音质清晰立体。开放式耳机设计既时尚又实用，通话降噪效果出色，智慧播报功能超方便。流线悬浮镜片科技感满满，完美HarmonyOS系统设备，智能眼镜里的颜值担当。
2025年4月27日 · 方形无框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,好评，打电话听音乐都很方便，还能监测颈椎情况！
2025年4月29日 · 方形无框光学镜2+圆形镜片,挺轻的，一开始以为会重，现在不担心了，造型也不错，适合自己。
2025年4月29日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,配的近视度数很准，发货速度还算快，就是同声传译功能还不会用，要花时间多去试试
2025年4月30日 · 【加购送价值269元前框】飞行员光学镜+飞行员2墨镜前框,从这家店的初代买到现在，这名字取来取去又回到2代，让我混淆了都，从初代重量挂的耳朵疼，到现在挂着都没啥感觉，初代的半天续航到现在的用两天没问题，都在越做越好，音质也在提升，客服啊絮服务也不错
2025年4月3日 · 【加购送价值269元前框】飞行员光学镜+飞行员2墨镜前框,音质还不错，防蓝光镜片和墨镜，随意换
2025年4月3日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,办公听歌两不误，音质非常好，发货速度非常快，很实用。
2025年4月3日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,比普通眼镜略重，但还可以接受。通话声音清晰，操作方便，款式很不错。
2025年4月5日 · 方形无框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,重量轻，音质清晰，不错！
2025年4月6日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,华为眼镜眼镜真的很不错！和商家中间有点小插曲，后来还是完美解决了！推荐购买华为商品，国货之光，遥遥领先！
2025年4月8日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,华为质量一直都是那么好。
2025年4月8日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,物流超级超级快！质量也非常不错，的确物有所值，华为眼镜很不错
2025年4月9日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,已经佩戴一段时间了，使用体验非常好，物流也很快，是一次不错的购物体验。祝商家生意兴隆！
2025年5月11日 · 钛空光学镜2,带了半天 比想象中的好
2025年5月11日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,已经佩戴一段时间了，使用体验非常好，物流也很快，是一次不错的购物体验。 开车的时候真的很方便，在高速上也可以轻松接打电话了。
2025年5月12日 · 【2025新品发售】钛空圆框光学镜,华为智能眼镜2飞行员金丝钛空光学镜变框，真是太棒了！质量非常好，戴上去很舒适，性价比超高。物流速度也很快，满意！
2025年5月12日 · 【加购送价值269元前框】飞行员光学镜+飞行员2墨镜前框,蛮好的，就是换墨镜比较费劲，不像之前的直接替换即可，这二代的还需要拧螺丝才能更换的，不过总体很好
2025年5月12日 · 【加购送价值269元前框】飞行员光学镜2+飞行员2亮黑色前框,挺好的。使用也挺满意。音色不错。 很好
2025年5月12日 · 【加购送价值269元前框】飞行员光学镜2+飞行员2透灰色前框,还在试带中，期待的实用，好评100个
2025年5月12日 · 钛空光学镜2,超出预期。很轻，值得入手！
2025年5月13日 · 飞行员光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,从他们店入手华为第三款眼镜。眼镜体验感非常好，特别喜欢，运动人士的福音，听音乐通话音质极佳，功能强大，好评！
2025年5月14日 · 方形无框光学镜2,东西特别好 老板服务态度也好值得购买。推荐大家
2025年5月14日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,买的钛空银，时间两天一充，很好。
2025年5月18日 · 方形无框光学镜2,试戴几天才发表感受：做为一名华粉真心感谢华为提供产品，产品质量真好，近视镜度数配的很准，物流快速准时，好多功能学习中，有好的体验再追评供大家参考......
2025年5月18日 · 钛空光学镜2,挺好看的  质量质都好  �
2025年5月19日 · 【2025新品发售】钛空圆框光学镜,买的第二个了，商家送了低度数镜片也合适，日常上班摸鱼特别好用
2025年5月19日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,本来想买华为耳机的，但有天在实体店里看到这个，随即下单了两副，全网可以说价格很合适了，打电话配合小艺特别方便。
2025年5月21日 · 【加购送价值269元前框】飞行员光学镜2+飞行员2亮黑色前框,眼镜非常时尚帅气 功能强大 第一次使用智能眼镜 体验不错 值得购买
2025年5月21日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,我买的是钛空光学镜框，送给我个飞行员前框也没用啊
2025年5月23日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,眼镜很方便，可以不带耳机了，还可以免费配镜，很棒
2025年5月26日 · 钛空光学镜2款,考虑了很久到底买新款圆框还是这款钛空，线下居然没有门店，最后只能中规中矩买了钛空，结果戴起来效果还不错，配上依视路的镜片，完美。附带一句依视路也是正品
2025年5月26日 · 飞行员光学镜2,好看好用，小米和华为选了半天还是选了华为，用起来靠谱放心��
2025年5月28日 · 钛空光学镜2,很好的购物体验  很喜欢的一个产品
2025年5月2日 · 【2025新品发售】钛空圆框光学镜,两天就送到货，速度快，赶到五一前了。眼镜也好看 还有雕花。
2025年5月2日 · 方形无框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,自己配了个镜片，很好用，比耳机方便的多！
2025年5月31日 · 方形半框光学镜2,华为二代半框眼镜使用体验分享  作为一名经常需要在办公和移动场景中切换的职场人，同时也是个数码产品爱好者，我一直关注着智能穿戴设备的发展。最近入手了华为二代半框眼镜，使用一段时间后，迫不及待想和大家分享一下我的真实感受。  外观：时尚与精致并存  拿到这款眼镜的第一眼，我就被它简约而不失时尚的外观吸引了。半框的设计相较于全框更加轻盈、灵动，不会给脸部带来过多的压迫感，同时也展现出一种独特的时尚品味。镜框的材质质感十足，黑色的外观百搭又耐脏，无论是搭配正装出席正式场合，还是穿着休闲装日常出行，都毫无违和感，能够轻松融入各种穿搭风格。  佩戴舒适度：宛如无物  不得不说，华为在人体工程学设计方面确实有着深厚的功底。这款眼镜的鼻托采用了柔软且贴合的设计，能够根据我鼻梁的形状自动调整位置，长时间佩戴也不会出现压痕或者不适感。镜腿的弧度也恰到好处，完美地贴合我的头部轮廓，不会过紧或过松。即使连续佩戴几个小时，耳朵也不会有明显的胀痛感。对于像我这样经常需要长时间工作，眼睛和头部容易疲劳的人来说，这样舒适的佩戴体验简直是一大福音。  音效体验：近距离的私密音频盛宴  作为一款具备音频功能的眼镜，它的
2025年5月31日 · 方形半框光学镜2,外形很漂亮，很好看，重量也还好，不会太压耳朵，蓝牙连接也很稳定，只是漏音还是有一些，音量不能开太高。
2025年5月3日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,产品非常好，非常满意，下次还会光顾。
2025年5月3日 · 金丝光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,用了两天，听歌，听小说，打电话体验感非常不错！刚收到货不会用，客服也非常有耐心！很不错
2025年5月4日 · 金丝光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,不错不错，用了几天才来评论，基本上一百天一直听歌或导航，能用两天左右，功能也很不错。
2025年5月5日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,都很好，想买的朋友需要提前验光
2025年5月5日 · 金丝光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,有点小磕磕碰碰，店家解决了，我打电话给华为查询真假，也回复正品让放心使用，所以我认为是正品，镜片我开始以为蔡司的，结果不是，海盐重新配个镜片，但是蓝牙感觉很好，我上班几个小时，一直听电子书听歌别人也不知道，所以总体我挺开心的
2025年5月5日 · 金丝光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,眼镜收到，音质非常好，非常好用，还可以更换镜片镜框，非常开心的一次购物
2025年5月6日 · 【2025新品发售】钛空圆框光学镜,1.很重，戴着很不舒服，根本无法日常使用，近视眼镜无法退货 2.买的1.71的镜片，配出来的是1.6的，巨厚，刚开始玩还不承认 3.直播间说送的东西，都是虚假宣传，要么就是没有或者少送。 4.，新出的什么同声传译，更牛就是眼镜上激活，然后在手机上看，余大嘴真是个天才，遥遥领先，体验极差
2025年5月6日 · 方形半框光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,垃圾。佩戴了3-4天就断了。去华为官方维修点维修，维修点说是假货，和正品配件匹配不上，花了311换了正品镜框，这个卖家说是我折坏的，自己折坏再去官方店维修？也只有这个卖家想得出！搞笑。垃圾！！！
2025年5月6日 · 飞行员光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,客服非常不错，耐心解答，还给发了顺丰！！！眼镜清晰，已经戴上了^-^不得不说，发货是真的快
2025年5月7日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,全网最划算，赠品又多，沟通愉快，非常满意
2025年5月7日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,眼镜很实用，很轻，音质也不错，客服服务很好，下次再来
2025年5月7日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,送个赠品半个月送出来来，有意思吗。不送就算了。送不起就拉到。
2025年5月7日 · 钛空光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,音频播放清晰，镜架也比想象的细，客服服务态度好
2025年5月8日 · 【2025新品发售】钛空圆框光学镜,眼镜物流很快，镜片物流太慢
2025年5月8日 · 飞行员光学镜2【送飞行员前框+鼻托+湿巾+镜片夹片任选】,外观和质量都很满意，物流速度快，商家服务专业，性价比高，推荐购买。用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了
2025年5月9日 · 方形半框光学镜2,眼镜收到了，音质清晰，眼镜配的也很好，复合需求，物流信息也很快！感谢商家
2025年6月11日 · 方形无框光学镜2,非常棒，有些卖家说无框的眼镜需要配贵的超韧镜片，而这个店却没有说不可以，直接配好邮过来。眼镜非常好用，已经离不开了。
2025年6月12日 · 方形半框光学镜2,好看超喜欢，戴着超帅，主要是摸鱼超级方便�
2025年6月12日 · 方形半框光学镜2,眼睛正品。 非常满意的一次购物。 客服很认真的介绍。
2025年6月12日 · 方形半框光学镜2,两个镜框都很好看，客服服务态度也很好。试用了一天，音量50％，半米开外的同事什么都听不到。目前使用感觉良好。
2025年6月14日 · 方形半框光学镜2,主播、客服服务都特别好！
2025年6月14日 · 方框太阳镜组合,我对这款眼镜的使用体验非常满意。首先，这款眼镜的外观设计简洁大方，既符合现代审美又不失个性。其次，镜片的质量非常高，佩戴起来非常舒适，没有任何不适感。再者，镜框的材质也非常耐用。总的来说，这款眼镜无论是在外观设计、使用舒适度还是耐用性方面都表现出色，是一款值得推荐的优质产品。
2025年6月16日 · 方形无框光学镜2,实物比想象的，样子好看太多，音效好看太多，还能同时连接两个手机，满足个人需求，真的非常不错的产品
2025年6月16日 · 飞行员光学镜2,飞行员款，十分帅气，年轻时尚。商家服务也很好。
2025年6月17日 · 飞行员光学镜2,质量非常好，客服态度好，戴着挺轻的，比较舒适。免费换了脚链，很好
2025年6月18日 · 【2025新品发售】钛空圆框光学镜,正品，很满意会再回购的
2025年6月18日 · 【加购送价值269元前框】飞行员光学镜2+飞行员2黑白色渐变前框,朋友推荐买的 她买的3代用了两年了还是很好 看到2代续航更高 果断入手 到了就试了 音质也还不错 摸鱼神器
2025年6月18日 · 方形半框光学镜2,这个差评我一定要给，备注好让他们等我度数再给我发货，第二天私自发货，还不给退款，服务态度差，说话基本不回复你，这次购物很差，希望大家慎重考虑这家
2025年6月19日 · 方形半框光学镜2,昨天买的，今天就到了，速度非常快，店家送了不少东西，试用了一下这一款确实很好用，摸鱼必备，不过还是要适应一段时间
2025年6月19日 · 钛空光学镜2,眼镜正品保证，已买二款华为眼镜了
2025年6月1日 · 方形无框光学镜2,很好，第二次买了，没翻车，全新正品
2025年6月20日 · 方框太阳镜组合,眼镜款式时尚潮流，物流速度很快。 功能强大！！
2025年6月20日 · 金丝光学镜2,服务到位，一条龙配好眼镜，度数也很准。眼镜的质量也特别不错，很好看，很满意。
2025年6月20日 · 钛空光学镜2,眼镜很不错，是华为正品，眼镜不重佩戴舒适
2025年6月20日 · 飞行员光学镜2,东西很好，客服很满意。售后好。
2025年6月21日 · 方框太阳镜组合,带起来非常帅，收音很好，以后就不需要耳机啦！而且有两副镜片，既能防蓝光又可以当太阳镜，性价比绝绝紫！
2025年6月21日 · 金丝光学镜2,很喜欢，很智能，非常高级，镜框也合适，不重，准备再配个镜片
2025年6月21日 · 钛空光学镜2,之前那副眼镜不小心弄坏了，作为科技达人早就想入一副智能眼镜了，于是趁着618和国补还有赶紧下单了。一收到眼镜就迫不及待地戴上试了试，电话效果很清晰，头部控制也很灵敏。
2025年6月21日 · 钛空光学镜2,比想象的轻，镜片是免费送的还是超多500度的镜片，虽然是1.6折射率的但是佩戴不会感觉特别重，包含镜片一共41g，下载app就可以体验其他功能，总体感觉不错
2025年6月22日 · 方框太阳镜组合,非常的实用好用，不用戴耳机了，也不耳朵疼了
2025年6月22日 · 钛空光学镜2,智能眼镜很轻，连接华为手机听音乐音质很好，刷视频也方便，不漏音，佩戴舒适，刚使用还不回操作，好评！
2025年6月23日 · 方形无框光学镜2,东西很好用，接听电话非常清晰，而且基本外面听不见，隐私性很好，相当于随时有个蓝牙耳机，并且ios的设备也可以兼容这点非常好
2025年6月23日 · 钛空光学镜2,东西真不错，用于开会摸鱼听小说，声音没有一点外露，而且续航特别长，特别满意，戴起来也很舒服，给个好评！
2025年6月24日 · 方形半框光学镜2,抱着试试看的心态买的，因为价格便宜，没想到收到货质量这么好，太意外啦！正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买
2025年6月24日 · 金丝光学镜2,发货速度很快，商家送了好多东西。收音很好，外观精致！
2025年6月24日 · 金丝光学镜2,很时尚轻盈没有沉重感音质也清晰
2025年6月24日 · 金丝光学镜2,眼镜很轻，续航时间长，操作简单灵敏，音效很好，华为的产品售后很放心。店家服务也很好，配的近视镜片很清晰，比线下眼镜店配的还舒服，很满意！
2025年6月24日 · 钛空光学镜2,眼镜体验超级棒，老花粉了，华为产品**冲！ 续航不错，如果一直听歌的话当天需要多充一次电。 重量适中，戴着不是很重。 免费配的近视镜片也很清晰。 操作手势也很简单。 整体体验不错！
2025年6月24日 · 飞行员光学镜2,很酷，很好看，赠品也很丰富 音质清晰，续航一天没啥问题
2025年6月25日 · 【加购送价值269元前框】飞行员光学镜2+飞行员2亮黑色前框,收到的东西和买之前和客服沟通时答应的不一样。 没有额外的镜框，铰链没法自己换。购物体验差。
2025年6月25日 · 【加购送价值269元前框】飞行员光学镜2+飞行员2黑白色渐变前框,收到后自己去眼镜店配了镜片，目前用着还不错！之前一直喜欢戴耳机，时间长了不舒服，现在省事了。
2025年6月26日 · 方形半框光学镜2,眼镜会比平常眼镜重一点点，但是佩戴基本上没感觉，视觉上会看着镜腿较厚，音质还可以，上班使用时，同事反馈听不见声音，比较适合上班摸鱼
2025年6月26日 · 方框太阳镜组合,买的华为眼镜2代，体验非常不错。这款眼镜设计时尚，佩戴舒适，适合长时间使用。其智能功能如语音助手和音乐播放，提升了日常生活的便利性。 618活动加国补购买很划算，  总的来说，华为眼镜2代是一款集时尚与智能于一体的优秀产品，值得推荐。
2025年6月26日 · 金丝光学镜2,眼镜很智能待机时间很长，只要给验光数据老板帮忙把镜片配好，真的很完美，这款眼镜很好看
